city_name,departure_count,arrival_count,Latitude,Longitude
"Aberdeen, South Dakota",22112,22280,45.4649,-98.4686
"Abilene, Texas",79928,79102,32.4543,-99.7384
"Adak Island, Alaska",2149,2171,51.87268147,-176.6493591
"Akhiok, Alaska",651,652,56.94079803,-154.1757678
"Akiachak, Alaska",3044,2684,60.9054549,-161.4244387
"Akiak, Alaska",2380,2125,60.902,-161.2316
"Akron, Ohio",343497,343716,41.0798,-81.5219
"Akun, Alaska",2236,2292,54.1325,-165.7854
"Akutan, Alaska",1209,1307,54.13787805,-165.7785355
"Alakanuk, Alaska",2512,2528,62.68579958,-164.7220982
"Alamosa, Colorado",11319,10636,37.4752,-105.877
"Albany, Georgia",29981,31523,31.5776,-84.1762
"Albany, New York",1376306,1370768,42.6664,-73.7987
"Albuquerque, New Mexico",2604961,2591629,35.1054,-106.6465
"Alexandria, Louisiana",116054,157740,31.2923,-92.4702
"Allakaket, Alaska",1481,1565,66.55084267,-152.6318689
"Allentown/Bethlehem/Easton, Pennsylvania",419372,421069,40.5961,-75.4756
"Alliance, Nebraska",4328,4167,42.06221306,-102.8071069
"Alpena, Michigan",8034,7019,45.074,-83.4402
"Altoona, Pennsylvania",3206,3478,40.5082,-78.4007
"Amarillo, Texas",397691,393662,35.1984,-101.8316
"Ambler, Alaska",1847,1868,67.1064,-157.8522
"Anaktuvuk Pass, Alaska",3000,3146,68.1336,-151.7424
"Anchorage, Alaska",2624300,2605974,61.1508,-149.1091
"Angoon, Alaska",2256,2052,57.49670324,-134.5707673
"Aniak, Alaska",4636,4638,61.58099389,-159.5436808
"Ankeny, Iowa",311,358,41.7288,-93.6031
"Anvik, Alaska",355,370,62.65947977,-160.2087005
"Appleton, Wisconsin",474881,472909,44.278,-88.3892
"Arcata/Eureka, California",117970,115799,40.8615,-124.0758
"Arctic Village, Alaska",1750,1892,68.1147,-145.5796
"Asheville, North Carolina",1125467,1120049,35.5707,-82.5537
"Ashland, West Virginia",88798,88330,42.18854906,-122.6565532
"Aspen, Colorado",308737,311482,39.2232,-106.868
"Athens, Georgia",1913,1520,33.9508,-83.3689
"Atka, Alaska",318,335,52.22404686,-174.2087232
"Atlanta, Georgia",44268808,44398703,33.7628,-84.422
"Atlantic City, New Jersey",435903,435661,39.3797,-74.4527
