Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Weather.Condition,Broad.phase.of.flight,Total.Injuries,Event.Year,City,State
2,0,0,UNK,Unknown,2,1986,PORT ALSWORTH,AK
2,0,0,UNK,Unknown,2,1992,MISSING,AK
0,0,0,UNK,Climb,0,1998,JAMAICA,NY
1,0,0,UNK,Unknown,1,1999,CHITINA,AK
1,0,0,UNK,Climb,1,2000,ANIAK,AK
2,0,0,UNK,Cruise,2,2000,Wheaton Springs,CA
0,0,13,UNK,Climb,13,2000,ATLANTA,GA
0,0,0,UNK,Cruise,0,2001,WEST PALM BEACH,FL
2,0,0,UNK,Unknown,2,2001,FAIRFIELD,WA
1,1,0,UNK,Unknown,2,2001,WILBUR,WA
0,1,1,UNK,Cruise,2,2001,Kokomo,IN
44,0,0,UNK,Cruise,44,2001,Shanksville,PA
64,0,0,UNK,Cruise,64,2001,Arlington,VA
65,0,0,UNK,Cruise,65,2001,New York City,NY
92,0,0,UNK,Cruise,92,2001,New York City,NY
1,0,0,UNK,Unknown,1,2001,Lucile,ID
0,1,0,UNK,Climb,1,2001,Mud Lake,ID
0,1,0,UNK,Climb,1,2002,BARING,WA
0,0,0,UNK,Maneuvering,0,2002,CONCRETE,WA
3,0,0,UNK,Maneuvering,3,2002,ATLANTA,ID
1,0,0,UNK,Unknown,1,2002,Missing,UN
0,0,1,UNK,Maneuvering,1,2003,TAHOLAH,WA
2,0,0,UNK,Cruise,2,2003,Merlin,OR
2,0,0,UNK,Maneuvering,2,2003,MAZAMA,WA
2,0,0,UNK,Maneuvering,2,2003,Longmont,CO
2,0,0,UNK,Climb,2,1999,Coeur d'Alene,ID
0,0,0,UNK,Landing,0,2001,ALTUS,OK
4,0,0,UNK,Maneuvering,4,2004,Glasgow,MT
0,1,0,UNK,Cruise,1,2004,Clyde,NY
2,0,0,UNK,Cruise,2,2004,Jefferson City,MO
2,0,0,UNK,Approach,2,2006,North Garden,VA
0,0,0,UNK,Unknown,0,2006,FRESNO,CA
2,0,0,UNK,Unknown,2,2007,Glenwood,NM
4,0,0,UNK,Unknown,4,1982,DURANGO,CO
0,0,0,VMC,Takeoff,0,1982,S. OF MORGAN CI,LA
0,0,0,VMC,Approach,0,1982,LOUISVILLE,KY
0,0,0,VMC,Landing,0,1982,DRIFT RIVER,AK
0,0,2,VMC,Approach,2,1982,SEDONA,AZ
1,3,0,VMC,Landing,4,1982,CLEARLAKE,CA
0,0,0,VMC,Cruise,0,1982,CASSVILLE,WI
0,0,0,VMC,Landing,0,1982,OAKLEY,KS
0,0,1,VMC,Approach,1,1982,OLATHE,KS
0,0,1,VMC,Landing,1,1982,KEARNEY,NE
0,0,0,VMC,Landing,0,1982,PRESCOTT,AZ
0,0,0,VMC,Takeoff,0,1982,CHUGIAK,AK
0,0,0,UNK,Landing,0,1982,CALISTOGA,CA
0,0,0,VMC,Cruise,0,1982,HOUSTON,TX
0,0,1,VMC,Landing,1,1982,11MI. SO.OFTELL,CO
0,0,0,VMC,Takeoff,0,1982,NUNAPITCHUK,AK
0,1,0,VMC,Landing,1,1983,ARROYO GRANDE,CA
0,0,1,VMC,Approach,1,1983,NEWPORT,OR
0,0,0,VMC,Landing,0,1983,WOODBINE,IA
0,0,1,UNK,Unknown,1,2020,Marengo,IN
0,0,0,UNK,Unknown,0,2021,Montezuma,GA
0,0,0,UNK,Unknown,0,2008,San Francisco,CA
0,0,0,UNK,Unknown,0,2009,Tallahassee,FL
0,0,0,UNK,Unknown,0,2009,Corning,AR
0,0,0,UNK,Unknown,0,2009,Moultrie,GA
0,0,0,UNK,Unknown,0,2009,Charleston,WV
1,0,1,UNK,Unknown,2,2009,Verdel,NE
0,0,1,UNK,Unknown,1,2010,Chicago,IL
0,5,1,UNK,Unknown,6,2010,Fort Dodge,IA
0,1,0,UNK,Unknown,1,2011,Meeker,CO
2,0,0,UNK,Unknown,2,2011,Parker,CO
0,0,0,UNK,Unknown,0,2011,Greenville,MS
7,0,0,UNK,Unknown,7,2011,Demopolis,AL
3,0,2,UNK,Unknown,5,2011,Burma,PO
1,1,0,UNK,Unknown,2,2011,Conroe,TX
0,0,2,UNK,Unknown,2,2011,Montauk,AO
0,3,1,UNK,Unknown,4,2012,Detroit,MI
0,0,0,UNK,Unknown,0,2012,Hilo,HI
1,0,0,UNK,Unknown,1,2012,Homer,AK
0,0,0,UNK,Unknown,0,2010,Miami,FL
0,0,0,UNK,Unknown,0,2019,Ludlow,CA
0,0,0,UNK,Unknown,0,2022,Tupelo,MS
0,0,0,UNK,Unknown,0,2017,Jamaica,NY
0,0,2,UNK,Unknown,2,2017,Truckee,CA
0,0,1,UNK,Unknown,1,2018,Northport,WA
0,0,1,UNK,Unknown,1,2018,New York,NY
0,0,0,UNK,Unknown,0,2018,Roche Harbor,WA
2,0,0,UNK,Unknown,2,2018,Rochester,WA
0,0,0,UNK,Unknown,0,2018,Honolulu,HI
0,0,0,UNK,Unknown,0,2018,Houston,TX
0,0,0,UNK,Unknown,0,2018,Winter Haven,FL
0,0,0,UNK,Unknown,0,2018,New York,NY
0,0,1,UNK,Unknown,1,2018,Myerstown,PA
0,0,0,UNK,Unknown,0,2018,Key West,FL
0,0,0,UNK,Unknown,0,2019,Montague,CA
2,0,0,UNK,Unknown,2,2019,Escuintla,OF
0,0,0,UNK,Unknown,0,2019,Reno,NV
0,0,1,UNK,Unknown,1,2019,Sharpsburg,GA
0,2,1,UNK,Unknown,3,2019,St. Helena,CA
0,0,0,UNK,Unknown,0,2019,McCall,ID
0,0,0,UNK,Unknown,0,2019,Winter Haven,FL
0,0,0,UNK,Unknown,0,2019,Red Rock,AZ
0,1,0,UNK,Unknown,1,2019,Gila Bend,AZ
0,0,0,UNK,Unknown,0,2019,Fort Lauderdae,FL
0,1,0,UNK,Unknown,1,2019,Brewster,WA
0,0,0,UNK,Unknown,0,2019,Denver,CO
0,1,0,UNK,Unknown,1,2019,Lincoln,MT
0,0,0,UNK,Unknown,0,2019,Klamath Falls,OR
0,0,0,UNK,Unknown,0,2019,Hurricane,UT
0,0,1,UNK,Unknown,1,2019,Aumsville,OR
0,0,1,UNK,Unknown,1,2019,Kilgore,TX
0,2,0,UNK,Unknown,2,2019,Madras,OR
0,0,0,UNK,Unknown,0,2019,Cuthbert,GA
2,0,0,UNK,Unknown,2,2019,Gainesville,TX
0,0,0,UNK,Unknown,0,2019,San Francisco,CA
0,1,0,UNK,Unknown,1,2019,North Garden,VA
0,0,0,UNK,Unknown,0,2019,Phoenix,AZ
0,0,0,UNK,Unknown,0,2019,Prospect,OR
0,1,0,UNK,Unknown,1,2019,Shelton,WA
0,0,2,UNK,Unknown,2,2019,Ruidoso,NM
0,0,0,VMC,Takeoff,0,1983,MARYVILLE,MO
0,0,0,UNK,Unknown,0,2019,Eugene,OR
0,1,2,UNK,Unknown,3,2019,Reno,NV
0,1,1,UNK,Unknown,2,2019,Monroe,WI
0,0,0,UNK,Unknown,0,2019,North Las Vegas,NV
0,0,2,VMC,Approach,2,1983,UPLAND,CA
0,0,0,VMC,Landing,0,1983,SPRINGBROOK,WI
0,1,0,VMC,Landing,1,1983,INDIANOLA,IA
0,1,0,UNK,Unknown,1,2019,Denver,CO
0,0,1,UNK,Unknown,1,2019,Lakeland,FL
0,0,0,UNK,Unknown,0,2019,Modesto,CA
1,0,0,UNK,Unknown,1,2019,Moore,UT
1,0,0,UNK,Unknown,1,2019,New Salem,NC
0,0,0,UNK,Unknown,0,2019,Holden,UT
0,0,0,UNK,Unknown,0,2019,Chicago,IL
0,0,0,UNK,Unknown,0,2019,Salt Lake City,UT
0,1,0,UNK,Unknown,1,2019,Riverton,UT
1,0,0,UNK,Unknown,1,2019,Goodyear,AZ
0,0,0,UNK,Unknown,0,2019,Denver,CO
7,0,0,UNK,Unknown,7,2019,Lihue,HI
0,0,0,UNK,Unknown,0,2019,Big Piney,WY
0,1,0,UNK,Unknown,1,2020,Dutch Harbor,AK
1,0,0,UNK,Unknown,1,2020,Jacksonville,TX
0,0,1,UNK,Unknown,1,2020,Los Angeles,CA
2,0,0,UNK,Unknown,2,2020,Sonora,CA
2,0,0,UNK,Unknown,2,2020,Audubon,IA
1,0,0,UNK,Unknown,1,2020,Marathon,FL
0,0,0,UNK,Unknown,0,2020,Fairbanks,AK
0,0,0,UNK,Unknown,0,2020,Coeur D Alene,ID
4,0,0,UNK,Unknown,4,2020,Alpine,UT
0,1,0,UNK,Unknown,1,2020,Des Moines,IA
0,0,0,UNK,Unknown,0,2020,Wooster,OH
0,1,1,UNK,Unknown,2,2020,Orlando,FL
2,0,0,UNK,Unknown,2,2020,Lake Tahoe,CA
0,0,0,UNK,Unknown,0,2020,Venice,LA
0,0,0,UNK,Unknown,0,2020,Chicago,IL
1,0,0,UNK,Unknown,1,2020,Ely,NV
0,0,0,UNK,Unknown,0,2020,Grimes,CA
0,0,0,UNK,Unknown,0,2020,Burns Flat,OK
0,0,0,UNK,Unknown,0,2020,Thompson Falls,MT
1,0,2,UNK,Unknown,3,2020,San Antonio,TX
0,1,0,UNK,Unknown,1,2020,Holtville,CA
2,0,0,UNK,Unknown,2,2020,Cedar City,UT
0,0,0,UNK,Unknown,0,2020,Glenwood Springs,CO
2,0,0,UNK,Unknown,2,2020,Osage Beach,MO
0,0,1,UNK,Unknown,1,2020,Quillayute,WA
0,0,1,UNK,Unknown,1,2020,Los Angeles,CA
0,0,0,UNK,Unknown,0,2020,Chino,CA
0,0,0,UNK,Unknown,0,2020,Coleman,MI
1,0,0,UNK,Unknown,1,2020,Walker,MN
0,0,0,UNK,Unknown,0,2020,Oklahoma City,OK
2,0,0,UNK,Unknown,2,2020,Three Rivers,CA
0,0,0,UNK,Unknown,0,2020,Fort Greely,AK
2,0,1,UNK,Unknown,3,2020,Seeley Lake,MT
3,0,0,UNK,Unknown,3,2020,Cottage Grove,MN
0,0,1,UNK,Unknown,1,2020,Anchorage,AK
2,0,0,UNK,Unknown,2,2020,Houma,LA
0,0,0,UNK,Unknown,0,2020,Honolulu,HI
1,0,0,UNK,Unknown,1,2020,Dunn Center,ND
0,1,0,UNK,Unknown,1,2020,Compton,CA
1,0,0,UNK,Unknown,1,2020,Arlington,WA
1,0,0,UNK,Unknown,1,2020,Attalla,AL
0,0,0,UNK,Unknown,0,2020,"Uberlandia, MG",OF
0,0,1,UNK,Unknown,1,2020,Houston,TX
0,0,0,UNK,Unknown,0,2021,Denton,NC
0,0,0,UNK,Unknown,0,2021,Jeffersonville,IN
0,0,0,UNK,Unknown,0,2021,Livermore,CA
0,0,0,UNK,Unknown,0,2021,Grand Haven,MI
0,0,0,UNK,Unknown,0,2021,Skwentna,AK
0,0,1,UNK,Unknown,1,2021,Los Angeles,CA
0,0,2,UNK,Unknown,2,2021,Animas,NM
0,2,2,UNK,Unknown,4,2021,Charlotte,NC
0,2,0,UNK,Unknown,2,2021,Yacolt,WA
0,1,0,UNK,Unknown,1,2021,Anchorage,AK
0,0,0,UNK,Unknown,0,2021,Boulder,CO
2,0,0,UNK,Unknown,2,2021,Williams,AZ
0,0,0,UNK,Unknown,0,2021,Thomaston,GA
0,0,0,UNK,Unknown,0,2021,Friday Harbor,WA
2,0,0,UNK,Unknown,2,2021,Winslow,AZ
0,0,2,UNK,Unknown,2,2021,Lake Arrowhead,CA
0,0,0,UNK,Unknown,0,2021,Sterling,MA
0,0,0,UNK,Unknown,0,2021,Chicago,IL
0,2,0,UNK,Unknown,2,2021,Hollister,CA
0,0,0,UNK,Unknown,0,2021,Dallas,TX
2,0,0,UNK,Unknown,2,2021,Eden,UT
0,2,0,UNK,Unknown,2,2021,Winder,GA
0,0,2,UNK,Unknown,2,2021,Darby,MT
0,0,0,UNK,Unknown,0,2021,Carson City,NV
0,8,1,UNK,Unknown,9,2021,New Orleans,LA
0,0,0,UNK,Unknown,0,2021,Porter,TX
5,0,0,UNK,Unknown,5,2021,Albuqerque,NM
0,0,2,UNK,Unknown,2,2021,Bentleyville,PA
0,0,0,UNK,Unknown,0,2021,Carrollton,AL
0,0,0,UNK,Unknown,0,2021,Wells,NV
0,0,0,UNK,Unknown,0,2021,Missoula,MT
0,0,4,VMC,Takeoff,4,1983,MONTEREY,CA
2,0,0,VMC,Maneuvering,2,1983,GENOA CITY,WI
3,0,0,IMC,Cruise,3,1983,BEAUFORT,SC
0,0,0,VMC,Maneuvering,0,1983,NEAR VERO BEACH,FL
2,0,0,UNK,Unknown,2,2021,Wikieup,AZ
0,0,0,UNK,Unknown,0,2021,Eagle Butte,SD
0,0,0,UNK,Unknown,0,2021,Rampart,AK
0,0,0,UNK,Unknown,0,2021,Yakutat,AK
2,0,0,UNK,Unknown,2,2021,Muscatine,IA
0,0,0,VMC,Takeoff,0,1983,BIG SPRING,TX
0,0,0,VMC,Takeoff,0,1983,VERNAL,UT
0,0,0,UNK,Unknown,0,2021,Edcouch,TX
0,0,0,UNK,Unknown,0,2021,Sterling,MA
0,0,0,UNK,Unknown,0,2021,Skwentna,AK
0,0,0,UNK,Unknown,0,2021,King Salmon,AK
0,0,0,UNK,Unknown,0,2021,Brenham,TX
0,1,0,UNK,Unknown,1,2021,Dewitt,VA
0,0,0,UNK,Unknown,0,2021,West Liberty,IA
0,0,0,UNK,Unknown,0,2021,Mineral Point,WI
0,0,1,UNK,Unknown,1,2021,Detroit,MI
0,0,0,UNK,Unknown,0,2021,Brooksville,FL
0,0,0,UNK,Unknown,0,2021,New Albany,MS
0,0,0,UNK,Unknown,0,2021,Caddo Mills,TX
0,0,0,UNK,Unknown,0,2021,Clearwater,FL
0,0,0,UNK,Unknown,0,2021,Electric City,WA
0,0,0,UNK,Unknown,0,2021,Sandpoint,ID
0,0,0,UNK,Unknown,0,2021,Rock Springs,WY
0,0,0,UNK,Unknown,0,2021,Peyton,CO
0,0,0,UNK,Unknown,0,2021,Adrian,MI
0,0,1,UNK,Unknown,1,2021,Merry,NE
0,0,0,UNK,Unknown,0,2021,Readington,NJ
0,0,1,UNK,Unknown,1,2021,Fort Sumner,NM
0,0,1,UNK,Unknown,1,2021,Randolph,WI
0,0,0,UNK,Unknown,0,2021,Martinsburg,WV
0,0,1,UNK,Unknown,1,2021,Sterling,MA
0,3,0,UNK,Unknown,3,2021,Igiugig,AK
0,1,0,UNK,Unknown,1,2021,Lake Isabell,CA
0,0,0,UNK,Unknown,0,2021,Tucson,AZ
0,0,1,UNK,Unknown,1,2021,Wooster,OH
0,0,1,UNK,Unknown,1,2021,Corydon,IN
0,0,0,UNK,Unknown,0,2021,Whitefish,MT
0,0,0,UNK,Unknown,0,2021,Phoenix,AZ
0,0,0,UNK,Unknown,0,2021,Santa Monica,CA
0,0,0,UNK,Unknown,0,2021,Puyallup,WA
0,0,0,UNK,Unknown,0,2021,Rohn,AK
0,0,0,UNK,Unknown,0,2021,Fairbanks,AK
0,1,1,UNK,Unknown,2,2021,Orlando,FL
0,0,0,UNK,Unknown,0,2021,Palmer,AK
0,0,0,UNK,Unknown,0,2021,Gonzales,LA
0,0,1,UNK,Unknown,1,2021,Chicago,IL
0,3,1,UNK,Unknown,4,2021,SeaTac,WA
0,0,0,UNK,Unknown,0,2021,Stow,OH
0,1,0,UNK,Unknown,1,2021,Olive Branch,MS
0,0,0,UNK,Unknown,0,2021,Fairfield,NJ
0,1,0,UNK,Unknown,1,2021,Troy,AL
0,0,0,UNK,Unknown,0,2021,Camp Verde,AZ
0,1,0,UNK,Unknown,1,2021,Windthorst,TX
0,0,0,UNK,Unknown,0,2021,Storm Lake,IA
0,0,0,UNK,Unknown,0,2021,Cotton Port,LA
0,2,0,UNK,Unknown,2,2021,Morrilton,AR
1,0,0,UNK,Unknown,1,2021,Wadsworth,OH
0,0,0,UNK,Unknown,0,2021,Fort Lauderdale,FL
0,0,0,UNK,Unknown,0,2021,DELRAY,FL
0,0,0,UNK,Unknown,0,2021,Gustavus,AK
0,0,0,UNK,Unknown,0,2021,Magee,MS
0,0,0,UNK,Unknown,0,2021,Tyonek,AK
0,0,0,UNK,Unknown,0,2021,Menomonie,WI
0,0,0,UNK,Unknown,0,2021,Princeton,ME
0,0,0,UNK,Unknown,0,2021,Toughkenamon,PA
0,0,0,UNK,Unknown,0,2021,Ayer,MA
0,0,0,UNK,Unknown,0,2021,Kennesaw,GA
0,0,0,UNK,Unknown,0,2021,Ozark,AR
0,1,0,UNK,Unknown,1,2021,ABINGDON,VA
0,0,0,UNK,Unknown,0,2021,Reynoldsville,IL
0,0,0,UNK,Unknown,0,2021,Romeo,MI
0,0,0,UNK,Unknown,0,2021,Howell,MI
0,0,0,UNK,Unknown,0,2021,Burlington,WI
0,0,0,UNK,Unknown,0,2021,Asheville,NC
0,1,2,UNK,Unknown,3,2021,Orcas Island,WA
0,0,0,UNK,Unknown,0,2021,Homer,AK
0,0,1,UNK,Unknown,1,2021,Buckeye,AZ
0,0,0,UNK,Unknown,0,2021,Kingsland,TX
0,0,0,UNK,Unknown,0,2021,Auburn,CA
0,1,0,UNK,Unknown,1,2021,Eden Prairie,MN
0,0,0,UNK,Unknown,0,2021,Waycross,GA
0,0,0,UNK,Unknown,0,2021,Cordova,AK
0,0,0,UNK,Unknown,0,2021,Ozark,AR
0,1,1,UNK,Unknown,2,2021,Lancaster,OH
0,0,0,UNK,Unknown,0,2021,Bishop,CA
0,1,0,UNK,Unknown,1,2021,Tucumcari,NM
0,0,0,UNK,Unknown,0,2021,Elk River,ID
0,0,0,UNK,Unknown,0,2021,Troup,TX
0,0,0,UNK,Unknown,0,2021,Salem,OR
0,0,0,UNK,Unknown,0,2021,Newark,NJ
0,0,0,UNK,Unknown,0,2021,Brooksville,FL
0,0,0,UNK,Unknown,0,2021,Hancock,MN
0,0,0,UNK,Unknown,0,2021,Kinston,NC
0,1,0,UNK,Unknown,1,2021,Kokomo,IN
0,1,0,UNK,Unknown,1,2021,Phoenix,AZ
0,0,0,UNK,Unknown,0,2021,POTTSTOWN,PA
0,0,0,VMC,Landing,0,1983,MONEE,IL
0,0,2,VMC,Landing,2,1983,PLATO CENTER,IL
0,0,0,UNK,Unknown,0,2021,Chicago,IL
0,0,0,UNK,Unknown,0,2021,Raleigh,NC
0,1,0,UNK,Unknown,1,2021,Watkins,CO
0,0,0,UNK,Unknown,0,2021,Houston,TX
0,0,0,UNK,Unknown,0,2021,Batavia,NY
0,0,0,UNK,Unknown,0,2021,Albany,OR
0,0,0,UNK,Unknown,0,2021,Los Banos,CA
0,0,2,UNK,Unknown,2,2021,Hollister,CA
0,0,0,UNK,Unknown,0,2021,Fruitland Park,FL
0,0,0,UNK,Unknown,0,2021,Horseshoe Bay,TX
0,0,1,UNK,Unknown,1,2021,Lexington,VA
0,0,0,UNK,Unknown,0,2021,Camarillo,CA
0,1,0,UNK,Unknown,1,2021,Yapu,OF
0,0,0,UNK,Unknown,0,2021,Wheeler Heights,GA
0,0,0,UNK,Unknown,0,2021,Kalispell,MT
1,0,2,UNK,Unknown,3,2021,Reserve,NM
0,0,0,UNK,Unknown,0,2021,White Swan,WA
0,1,0,UNK,Unknown,1,2021,Brookshire,TX
1,0,0,UNK,Unknown,1,2021,Dunsmuir,CA
0,0,1,UNK,Unknown,1,2021,Columbia,SC
0,0,1,UNK,Unknown,1,2021,Miami,FL
0,0,0,UNK,Unknown,0,2021,Waverly,TN
0,0,2,UNK,Unknown,2,2021,Tulisa Park,OF
0,0,0,UNK,Unknown,0,2021,Ciacanesti,OF
1,0,0,UNK,Unknown,1,2021,Shafter,CA
0,0,0,UNK,Unknown,0,2021,FRANKENMUTH,MI
0,0,0,UNK,Unknown,0,2021,Madison,MS
0,0,0,UNK,Unknown,0,2021,Freer,TX
0,0,0,UNK,Unknown,0,2021,Fort Davis,TX
0,0,0,UNK,Unknown,0,2021,Martinsville,VA
0,1,0,UNK,Unknown,1,2021,Mackay,ID
0,0,0,UNK,Unknown,0,2021,Palomar,CA
0,0,0,UNK,Unknown,0,2021,Marshall,MI
1,0,0,UNK,Unknown,1,2021,Big Bear City,CA
3,0,0,UNK,Unknown,3,2021,Chadron,NE
0,1,0,UNK,Unknown,1,2021,Old Bridge,NJ
0,0,0,UNK,Unknown,0,2021,Scio,OR
0,0,0,UNK,Unknown,0,2021,Austin,TX
0,0,0,UNK,Unknown,0,2021,Orlando,FL
0,1,0,UNK,Unknown,1,2021,New Cuyama,CA
0,0,1,UNK,Unknown,1,2021,Frazier Park,CA
0,1,0,UNK,Unknown,1,2021,Palmer,AK
0,0,0,UNK,Unknown,0,2021,Apopka,FL
0,0,0,UNK,Unknown,0,2021,Fairfield,UT
0,0,0,UNK,Unknown,0,2021,Gravette,AR
0,3,0,UNK,Unknown,3,2021,Cornelia,GA
0,0,0,UNK,Unknown,0,2021,Nikiski,AK
0,0,0,UNK,Unknown,0,2021,Miami,FL
0,0,0,UNK,Unknown,0,2021,Riverside,CA
0,0,0,UNK,Unknown,0,2021,Havasu,AZ
0,0,2,UNK,Unknown,2,2021,Midland,TX
0,0,0,UNK,Unknown,0,2021,Cleveland,TX
3,0,0,UNK,Unknown,3,2021,Mariscal Estigarribia,OF
4,0,0,UNK,Unknown,4,2021,Visalia,CA
0,0,0,UNK,Unknown,0,2021,Medford,OR
0,0,0,UNK,Unknown,0,2021,Hamilton,MT
1,0,0,UNK,Unknown,1,2021,Walsenburg,CO
0,0,1,UNK,Unknown,1,2021,McKinney,TX
0,0,0,UNK,Unknown,0,2021,Hillsboro,OR
0,1,1,UNK,Unknown,2,2021,St. Jo,TX
0,0,0,UNK,Unknown,0,2021,Temecula,CA
1,0,0,UNK,Unknown,1,2021,Inola,OK
0,0,0,UNK,Unknown,0,2021,Abbeville,LA
