ORIGIN_CITY_NAME,DEST_CITY_NAME,YEAR,ORIGIN_LAT,ORIGIN_LNG,DEST_LAT,DEST_LNG
"Aberdeen, SD","Hilo, HI",2023,45.4649,-98.4686,19.6883,-155.0863
"Aberdeen, SD","Provo, UT",2023,45.4649,-98.4686,40.2457,-111.6457
"Aberdeen, SD",Manhattan,2023,45.4649,-98.4686,39.1886,-96.6048
"Aberdeen, SD","Pittsburgh, PA",2023,45.4649,-98.4686,40.4397,-79.9763
"Abilene, TX","Smyrna, TN",2023,32.4543,-99.7384,35.9687,-86.5264
"Abilene, TX","Traverse City, MI",2023,32.4543,-99.7384,44.7546,-85.6038
"Abilene, TX",College Station,2023,32.4543,-99.7384,30.5852,-96.2959
"Abilene, TX","Rockford, IL",2023,32.4543,-99.7384,42.2596,-89.064
"Abilene, TX","Wilmington, NC",2023,32.4543,-99.7384,34.2099,-77.8866
"Abilene, TX","Portland, OR",2023,32.4543,-99.7384,45.5371,-122.65
"Abilene, TX","Chicago, IL",2023,32.4543,-99.7384,41.8375,-87.6866
"Abilene, TX","Scottsbluff, NE",2023,32.4543,-99.7384,41.8684,-103.6616
"Abilene, TX","Detroit, MI",2023,32.4543,-99.7384,42.3834,-83.1024
"Abilene, TX","Salt Lake City, UT",2023,32.4543,-99.7384,40.7776,-111.9311
"Abilene, TX","Teterboro, NJ",2023,32.4543,-99.7384,40.85844557,-74.06156139
"Abilene, TX","Prescott, AZ",2023,32.4543,-99.7384,34.5849,-112.4473
"Abilene, TX","Sacramento, CA",2023,32.4543,-99.7384,38.5677,-121.4685
"Abilene, TX","Columbus, OH",2023,32.4543,-99.7384,39.9862,-82.9855
"Abilene, TX","Indianapolis, IN",2023,32.4543,-99.7384,39.7771,-86.1458
"Abilene, TX","Tuscaloosa, AL",2023,32.4543,-99.7384,33.2348,-87.5268
"Adak Island, AK","Dallas/Fort Worth, Texas",2023,51.87268147,-176.6493591,32.7935,-96.7667
"Adak Island, AK","Jackson, WY",2023,51.87268147,-176.6493591,43.472,-110.7746
"Adak Island, AK","Ontario, CA",2023,51.87268147,-176.6493591,34.0393,-117.6064
"Akhiok, AK","St. Louis, MO",2023,56.94079803,-154.1757678,38.6359,-90.2451
"Akhiok, AK","Grayling, AK",2023,56.94079803,-154.1757678,62.89740624,-160.0659518
"Akhiok, AK","Hooper Bay, AK",2023,56.94079803,-154.1757678,61.52125786,-166.1429722
"Akhiok, AK","Cleveland, OH",2023,56.94079803,-154.1757678,41.4764,-81.6805
"Akhiok, AK","Eugene, OR",2023,56.94079803,-154.1757678,44.0564,-123.1174
"Akhiok, AK","Kotzebue, AK",2023,56.94079803,-154.1757678,66.8847,-162.5986
"Akiachak, AK","San Jose, CA",2023,60.9054549,-161.4244387,37.3012,-121.848
"Akiachak, AK","Provo, UT",2023,60.9054549,-161.4244387,40.2457,-111.6457
"Akiachak, AK","Lebanon-Hanover, NH",2023,60.9054549,-161.4244387,43.6261,-72.3045
"Akiachak, AK","San Diego, CA",2023,60.9054549,-161.4244387,32.8313,-117.1222
"Akiachak, AK","Missoula, MT",2023,60.9054549,-161.4244387,46.8751,-114.0214
"Akiachak, AK","Oakland, CA",2023,60.9054549,-161.4244387,37.7904,-122.2166
