"YEAR","STATE","Departure_Passenger_Count","Arriving_Passenger_Count"
2023,"IA","2282087.00","2285706.00"
2023,"WY","732474.00","727128.00"
2023,"SD","1054318.00","1054163.00"
2023,"KY","7138709.00","7164674.00"
2023,"GA","47098880.00","47212570.00"
2023,"AL","2734346.00","2731408.00"
2023,"AR","2184546.00","2176145.00"
2023,"ID","2822014.00","2814551.00"
2023,"AK","4905307.00","4889420.00"
2023,"ME","1503187.00","1494150.00"
2023,"NH","705519.00","704332.00"
2023,"MO","13468052.00","13500847.00"
2023,"NC","33910660.00","33965346.00"
2023,"NY","38182613.00","38473334.00"
2023,"PA","17834103.00","17887808.00"
2023,"CO","38648739.00","38660466.00"
2023,"HI","16946919.00","16902856.00"
2023,"LA","7402654.00","7431912.00"
2023,"OK","3785032.00","3789539.00"
2023,"WI","4948330.00","4931550.00"
2023,"OH","9918691.00","9943076.00"
2023,"NM","2848685.00","2835455.00"
2023,"MI","16856016.00","16851504.00"
2023,"CT","3560123.00","3559854.00"
2023,"FL","86543097.00","86618245.00"
2023,"VT","654255.00","651227.00"
2023,"RI","1759332.00","1761255.00"
2023,"UT","12877279.00","12891416.00"
2023,"NJ","18062370.00","18110247.00"
2023,"MS","1094266.00","1086471.00"
2023,"MD","12260248.00","12262732.00"
2023,"MT","2882468.00","2869752.00"
2023,"NV","28472536.00","28520768.00"
2023,"IL","40760510.00","40886640.00"
2023,"MN","15867218.00","15897915.00"
2023,"MA","16474301.00","16559969.00"
2023,"AZ","25791774.00","25408327.00"
2023,"NE","2711314.00","2719074.00"
2023,"WV","350725.00","346284.00"
2023,"TN","15522676.00","15562889.00"
2023,"VA","25218601.00","25248997.00"
2023,"ND","1144105.00","1141462.00"
2023,"IN","5723797.00","5743668.00"
2023,"SC","6667420.00","6652491.00"
2023,"KS","964563.00","964545.00"
2023,"WA","25090688.00","25136452.00"
2023,"OR","9657474.00","9677940.00"
2023,"TX","86451765.00","85954721.00"
2023,"DE","133276.00","130413.00"
2023,"CA","90338373.00","90141667.00"
